Name,url,team
Thomas Mangani,/fr/player/178160/thomas-mangani/,Angers SCO
Paul Baysse,/fr/player/178031/paul-baysse/,SM Caen
Ghislain Konan,/fr/player/235634/ghislain-konan/,Stade de Reims
Dimitri Liénard,/fr/player/235042/dimitri-li%C3%A9nard/,RC Strasbourg
Kelvin Amian,/fr/player/231235/kelvin-amian/,Toulouse FC
Ludovic Blas,/fr/player/231102/ludovic-blas/,EA Guingamp
Youssef Aït Bennasser,/fr/player/230042/youssef-a%C3%AFt-bennasser/,AS Monaco
Frédéric Guilbert,/fr/player/227222/fr%C3%A9d%C3%A9ric-guilbert/,SM Caen
Marcus Coco,/fr/player/226414/marcus-coco/,EA Guingamp
Nicolas Pépé,/fr/player/226110/nicolas-p%C3%A9p%C3%A9/,LOSC
Thiago Maia,/fr/player/225945/thiago-maia/,LOSC
Ramy Bensebaini,/fr/player/224196/ramy-bensebaini/,Stade Rennais
Maxime Lopez,/fr/player/224030/maxime-lopez/,OM
Otávio,/fr/player/222715/ot%C3%A1vio/,Girondins de BX
Gabriel Boschilia,/fr/player/221701/gabriel-boschilia/,FC Nantes
Yoan Cardinale,/fr/player/221130/yoan-cardinale/,OGC Nice
Antonio Barreca,/fr/player/220493/antonio-barreca/,AS Monaco
Bongani Zungu,/fr/player/220245/bongani-zungu/,Amiens SC
Baptiste Santamaria,/fr/player/219792/baptiste-santamaria/,Angers SCO
Lukas Lerager,/fr/player/217605/lukas-lerager/,Girondins de BX
Maxwel Cornet,/fr/player/215798/maxwel-cornet/,OL
Mike Maignan,/fr/player/215698/mike-maignan/,LOSC
Lucas Evangelista,/fr/player/215559/lucas-evangelista/,FC Nantes
Robert Berić,/fr/player/212023/robert-beri%C4%87/,ASSE
Björn Engels,/fr/player/210828/bj%C3%B6rn-engels/,Stade de Reims
Júlio Tavares,/fr/player/210722/j%C3%BAlio-tavares/,Dijon FCO
Abdoulaye Touré,/fr/player/210450/abdoulaye-tour%C3%A9/,FC Nantes
Pierrick Capelle,/fr/player/209781/pierrick-capelle/,Angers SCO
Gaëtan Laborde,/fr/player/209519/ga%C3%ABtan-laborde/,Montpellier HSC
Christopher Jullien,/fr/player/208615/christopher-jullien/,Toulouse FC
Lucas Lima,/fr/player/207924/lucas-lima/,FC Nantes
Jordan Ferri,/fr/player/206306/jordan-ferri/,OL
Prince-Désir Gouano,/fr/player/204886/prince-d%C3%A9sir-gouano/,Amiens SC
Ole Kristian Selnæs,/fr/player/204612/ole-kristian-seln%C3%A6s/,ASSE
Nicolas Benezet,/fr/player/202035/nicolas-benezet/,EA Guingamp
Andreas Cornelius,/fr/player/201943/andreas-cornelius/,Girondins de BX
Pablo,/fr/player/201315/pablo/,Girondins de BX
Nicolas De Préville,/fr/player/201073/nicolas-de-pr%C3%A9ville/,Girondins de BX
Matz Sels,/fr/player/199641/matz-sels/,RC Strasbourg
Romain Amalfitano,/fr/player/198817/romain-amalfitano/,Dijon FCO
Mexer,/fr/player/196801/mexer/,Stade Rennais
Pelé,/fr/player/194020/pel%C3%A9/,AS Monaco
Andy Delort,/fr/player/193983/andy-delort/,Montpellier HSC
Karl-Johan Johnsson,/fr/player/190120/karl-johan-johnsson/,EA Guingamp
Jimmy Durmaz,/fr/player/189207/jimmy-durmaz/,Toulouse FC
Ismaël Traoré,/fr/player/184873/isma%C3%ABl-traor%C3%A9/,Angers SCO
Claudio Beauvue,/fr/player/183068/claudio-beauvue/,SM Caen
Lucas Deaux,/fr/player/178051/lucas-deaux/,EA Guingamp
Stéphane M'Bia,/fr/player/164959/st%C3%A9phane-mbia/,Toulouse FC
Andrea Raggi,/fr/player/163407/andrea-raggi/,AS Monaco
Rolando,/fr/player/163083/rolando/,OM
Laurent Ciman,/fr/player/157678/laurent-ciman/,Dijon FCO
